materia,grupo,hora,dia,aula,profesor
3543,D|4|54|||20251~S2,10,L,E31,P000051
3543,D|4|54|||20251~S2,09,M,E31,P000051
3543,D|4|54|||20251~S2,17,X,E31,P000051
4541,D|4|54|||20251~S2,07,M,F20,P000006
4541,D|4|54|||20251~S2,16,M,F20,P000006
4541,D|4|54|||20251~S2,21,X,F20,P000006
4543,D|4|54|||20251~S2,20,M,F20,P000006
4543,D|4|54|||20251~S2,09,V,F20,P000006
4543,D|4|54|||20251~S2,11,V,F20,P000006
4545,D|4|54|||20251~S2,09,L,E25,P000073
4545,D|4|54|||20251~S2,19,M,E25,P000073
4545,D|4|54|||20251~S2,11,J,E25,P000073
5541,D|4|54|||20251~S2,19,L,F3A,P000004
5541,D|4|54|||20251~S2,14,M,F3A,P000004
5541,D|4|54|||20251~S2,16,V,F3A,P000004
5543,D|4|54|||20251~S2,12,L,F20,P000086
5543,D|4|54|||20251~S2,08,M,F20,P000086
5543,D|4|54|||20251~S2,12,J,F20,P000086
5546,D|4|54|||20251~S2,08,L,F3A,P000120
5546,D|4|54|||20251~S2,10,M,F3A,P000120
5546,D|4|54|||20251~S2,08,J,F3A,P000120
6541,D|4|54|||20251~S2,16,X,E37,P000090
6541,D|4|54|||20251~S2,14,J,E37,P000090
6541,D|4|54|||20251~S2,08,V,E37,P000090
6544,D|4|54|||20251~S2,07,J,E23,P000086
6544,D|4|54|||20251~S2,14,V,E23,P000086
6544,D|4|54|||20251~S2,17,V,E23,P000086
6547,D|4|54|||20251~S2,14,X,X11,P000033
6547,D|4|54|||20251~S2,10,J,X11,P000033
6547,D|4|54|||20251~S2,21,J,X11,P000033
7542,D|4|54|||20251~S2,11,L,U12,P000052
7542,D|4|54|||20251~S2,20,L,U12,P000052
7542,D|4|54|||20251~S2,10,V,U12,P000052
8542,D|4|54|||20251~S2,17,M,X12,P000005
8542,D|4|54|||20251~S2,17,J,X12,P000005
8542,D|4|54|||20251~S2,20,V,X12,P000005
4544,E|4|54|||20251~S1,16,L,E37,P000001
4544,E|4|54|||20251~S1,17,L,E37,P000001
4544,E|4|54|||20251~S1,14,V,E37,P000001
5542,E|4|54|||20251~S1,15,M,E13,P000004
5542,E|4|54|||20251~S1,16,M,E13,P000004
5542,E|4|54|||20251~S1,15,J,E13,P000004
6543,E|4|54|||20251~S1,19,L,E14,P000112
6543,E|4|54|||20251~S1,18,M,E14,P000112
6543,E|4|54|||20251~S1,09,V,E14,P000112
9541,E|4|54|||20251~S1,19,X,X11,P000002
2541,E|4|54|||20251~S1,11,L,E31,P000002
2541,E|4|54|||20251~S1,12,L,E31,P000002
2541,E|4|54|||20251~S1,10,J,E31,P000002
2543,E|4|54|||20251~S1,10,M,E23,P000106
2543,E|4|54|||20251~S1,12,M,E23,P000106
2543,E|4|54|||20251~S1,12,X,E23,P000106
2547,E|4|54|||20251~S1,08,L,2A2,P000093
2547,E|4|54|||20251~S1,14,L,2A2,P000093
2547,E|4|54|||20251~S1,16,J,2A2,P000093
3545,E|4|54|||20251~S1,14,X,C12,P000059
3545,E|4|54|||20251~S1,08,J,C12,P000059
3545,E|4|54|||20251~S1,10,V,C12,P000059
5541,E|4|54|||20251~S1,21,L,2A1,P000007
5541,E|4|54|||20251~S1,17,J,2A1,P000007
5541,E|4|54|||20251~S1,11,V,2A1,P000007
5544,E|4|54|||20251~S1,14,M,E28,P000035
5544,E|4|54|||20251~S1,11,X,E28,P000035
5544,E|4|54|||20251~S1,14,J,E28,P000035
6541,E|4|54|||20251~S1,07,M,E34,P000044
6541,E|4|54|||20251~S1,11,M,E34,P000044
6541,E|4|54|||20251~S1,08,V,E34,P000044
6546,E|4|54|||20251~S1,18,L,F20,P000037
6546,E|4|54|||20251~S1,20,J,F20,P000037
6546,E|4|54|||20251~S1,20,V,F20,P000037
5545,E|4|54|||20251~S2,08,M,X12,P000061
5545,E|4|54|||20251~S2,13,J,X12,P000061
5545,E|4|54|||20251~S2,14,J,X12,P000061
8542,E|4|54|||20251~S2,17,L,F3A,P000070
8542,E|4|54|||20251~S2,17,M,F3A,P000070
8542,E|4|54|||20251~S2,18,V,F3A,P000070
8543,E|4|54|||20251~S2,20,L,CIM,P000076
8543,E|4|54|||20251~S2,20,M,CIM,P000076
8543,E|4|54|||20251~S2,08,J,CIM,P000076
8543,E|4|54|||20251~S2,11,V,CIM,P000076
2542,E|4|54|||20251~S2,11,L,E33,P000030
2542,E|4|54|||20251~S2,07,X,E33,P000030
2542,E|4|54|||20251~S2,20,J,E33,P000030
2545,E|4|54|||20251~S2,11,M,E19,P000039
2545,E|4|54|||20251~S2,07,J,E19,P000039
2545,E|4|54|||20251~S2,09,J,E19,P000039
3542,E|4|54|||20251~S2,09,X,T12,P000104
3542,E|4|54|||20251~S2,16,X,T12,P000104
3542,E|4|54|||20251~S2,21,V,T12,P000104
4542,E|4|54|||20251~S2,16,L,F3A,P000074
4542,E|4|54|||20251~S2,13,X,F3A,P000074
4542,E|4|54|||20251~S2,08,V,F3A,P000074
5543,E|4|54|||20251~S2,14,L,Z23,P000112
5543,E|4|54|||20251~S2,11,X,Z23,P000112
5543,E|4|54|||20251~S2,17,J,Z23,P000112
5547,E|4|54|||20251~S2,08,L,U13,P000006
5547,E|4|54|||20251~S2,14,M,U13,P000006
5547,E|4|54|||20251~S2,15,V,U13,P000006
6544,E|4|54|||20251~S2,13,L,F28,P000086
6544,E|4|54|||20251~S2,12,M,F28,P000086
6544,E|4|54|||20251~S2,19,J,F28,P000086
7541,E|4|54|||20251~S2,12,L,E3A,P000044
7541,E|4|54|||20251~S2,19,M,E3A,P000044
7541,E|4|54|||20251~S2,15,J,E3A,P000044
