materia,grupo,hora,dia,aula,profesor
3502,T|8|50|||20251,13,X,E1A,P000054
3502,T|8|50|||20251,10,J,E1A,P000054
3502,U|8|50|||20251,13,M,F13,P000025
3502,U|8|50|||20251,09,X,F13,P000025
3502,U|8|50|||20251,17,J,F13,P000025
3502,V|8|50|||20251,14,L,FFB,P000134
3502,V|8|50|||20251,07,J,FFB,P000134
3502,V|8|50|||20251,18,J,FFB,P000134
3502,W|8|50|||20251,11,M,FF2,P000145
3502,W|8|50|||20251,16,X,FF2,P000145
3502,W|8|50|||20251,07,J,FF2,P000145
3502,X|8|50|||20251,15,L,FF5,P000025
3502,X|8|50|||20251,18,X,FF5,P000025
3502,X|8|50|||20251,08,J,FF5,P000025
3502,Y|8|50|||20251,18,L,FFB,P000025
3502,Y|8|50|||20251,07,M,FFB,P000025
3502,Y|8|50|||20251,14,V,FFB,P000025
3506,D|8|50|||20251,09,L,LCC,P000058
3506,D|8|50|||20251,08,X,LCC,P000058
3506,D|8|50|||20251,11,X,LCC,P000058
3506,D|8|50|||20251,12,X,LCC,P000058
4501,D|8|50|||20251,18,X,FF4,P000100
4501,D|8|50|||20251,19,J,FF4,P000100
4501,D|8|50|||20251,13,V,FF4,P000100
4501,E|8|50|||20251,07,X,FFC,P000165
4501,E|8|50|||20251,12,X,FFC,P000165
4501,E|8|50|||20251,17,V,FFC,P000165
4501,F|8|50|||20251,21,M,E35,P000054
4501,F|8|50|||20251,09,V,E35,P000054
4501,F|8|50|||20251,15,V,E35,P000054
4501,G|8|50|||20251,16,L,F21,P000094
4501,G|8|50|||20251,21,L,F21,P000094
4501,G|8|50|||20251,11,M,F21,P000094
4501,H|8|50|||20251,16,L,FF6,P000100
4501,H|8|50|||20251,07,J,FF6,P000100
4501,H|8|50|||20251,11,V,FF6,P000100
4501,I|8|50|||20251,19,L,FF3,P000145
4501,I|8|50|||20251,09,X,FF3,P000145
4501,I|8|50|||20251,14,V,FF3,P000145
4501,J|8|50|||20251,12,M,FF2,P000006
4501,J|8|50|||20251,07,X,FF2,P000006
4501,J|8|50|||20251,17,J,FF2,P000006
4501,K|8|50|||20251,11,L,E39,P000100
4501,K|8|50|||20251,20,M,E39,P000100
4501,K|8|50|||20251,15,X,E39,P000100
4501,L|8|50|||20251,07,L,FFB,P000100
4501,L|8|50|||20251,16,M,FFB,P000100
4501,L|8|50|||20251,11,X,FFB,P000100
4501,M|8|50|||20251,08,L,FFB,P000100
4501,M|8|50|||20251,21,M,FFB,P000100
4501,M|8|50|||20251,17,J,FFB,P000100
4501,P|8|50|||20251,15,L,FFA,P000100
4501,P|8|50|||20251,10,X,FFA,P000100
4501,P|8|50|||20251,19,V,FFA,P000100
4501,Q|8|50|||20251,20,L,E39,P000100
4501,Q|8|50|||20251,20,X,E39,P000100
4501,Q|8|50|||20251,21,X,E39,P000100
4501,R|8|50|||20251,14,M,E39,P000165
4501,R|8|50|||20251,07,J,E39,P000165
4501,R|8|50|||20251,10,V,E39,P000165
4504,D|8|50|||20251,12,L,L14,P000138
4504,D|8|50|||20251,15,M,L14,P000138
4504,D|8|50|||20251,08,J,L14,P000138
4504,D|8|50|||20251,07,V,L14,P000138
4504,E|8|50|||20251,07,L,LAM,P000138
4504,E|8|50|||20251,13,X,LAM,P000138
4504,E|8|50|||20251,07,J,LAM,P000138
4504,E|8|50|||20251,09,J,LAM,P000138
4505,D|8|50|||20251,11,M,L14,P000155
4505,D|8|50|||20251,13,M,L14,P000155
4505,D|8|50|||20251,16,X,L14,P000155
4505,D|8|50|||20251,20,X,L14,P000155
4505,E|8|50|||20251,19,L,LAM,P000155
4505,E|8|50|||20251,14,M,LAM,P000155
4505,E|8|50|||20251,13,J,LAM,P000155
4505,E|8|50|||20251,16,J,LAM,P000155
5502,A1|8|50|||20251,07,J,FF7,P000018
5502,A1|8|50|||20251,12,J,FF7,P000018
5502,A1|8|50|||20251,17,J,FF7,P000018
5502,BC|8|50|||20251,11,X,F26,P000157
5502,BC|8|50|||20251,16,X,F26,P000157
5502,BC|8|50|||20251,21,X,F26,P000157
5502,E|8|50|||20251,09,X,FF4,P000104
5502,E|8|50|||20251,14,X,FF4,P000104
5502,E|8|50|||20251,19,X,FF4,P000104
6505,D|8|50|||20251,18,L,LAM,P000164
6505,D|8|50|||20251,18,M,LAM,P000164
6505,D|8|50|||20251,07,X,LAM,P000164
6505,D|8|50|||20251,20,V,LAM,P000164
6505,E|8|50|||20251,17,L,LCC,P000171
6505,E|8|50|||20251,20,L,LCC,P000171
6505,E|8|50|||20251,16,X,LCC,P000171
6505,E|8|50|||20251,19,J,LCC,P000171
8505,D|8|50|||20251,20,M,FFC,P000123
8505,D|8|50|||20251,17,X,FFC,P000123
8505,D|8|50|||20251,21,V,FFC,P000123
850M,D|8|50|||20251,14,L,E35,P000175
850M,D|8|50|||20251,12,M,E35,P000175
850M,D|8|50|||20251,08,V,E35,P000175
1502,B|8|50|||20251~S1,19,L,L13,P000122
1502,B|8|50|||20251~S1,11,X,L13,P000122
1502,B|8|50|||20251~S1,10,J,L13,P000122
1502,B|8|50|||20251~S1,16,J,L13,P000122
3503,B|8|50|||20251~S1,11,L,LCC,P000153
3503,B|8|50|||20251~S1,08,M,LCC,P000153
3503,B|8|50|||20251~S1,13,X,LCC,P000153
